4_7b04e616-17b6-4acf-b2ea-28d8c1b607b3=0000000000001100000000|0000000000110100000000|0000000011000100000000|0000000111111111000000|0000000111111111000000|0000000000000100000000
2_819b2515-0efb-41c9-ab66-375dcd820761=0000000010000011000000|0000000110000111000000|0000000100001101000000|0000000100011001000000|0000000111110001000000|0000000011100001000000
5_7ff39656-7fc3-49aa-8572-13d48bde463b=0000000001110010000000|0000000111110011000000|0000000110100001000000|0000000100100001000000|0000000100111111000000|0000000100011110000000
0_afb70446-414e-4dd1-9af8-0e74a12e2646=0000000011111110000000|0000000111111111000000|0000000100000001000000|0000000100000001000000|0000000111111111000000|0000000011111110000000
5_60da59ce-c86e-44f5-be21-85bb78b29ec9=0000000001110010000000|0000000111110011000000|0000000110100001000000|0000000100100001000000|0000000100111111000000|0000000100011010000000
3_98197dca-1fd2-4c0a-972a-75cb1556bed9=0000000010000010000000|0000000110000011000000|0000000100100001000000|0000000100100001000000|0000000111111111000000|0000000011011110000000
1_0523c38f-14be-46a4-bb83-645dd1f63201=0000000001100000000000|0000000011000000000000|0000000111111111000000|0000000111111111000000
8_c9bbc320-e1d3-40d0-8644-a6135a727a79=0000000011101110000000|0000000111111111000000|0000000100010001000000|0000000100010001000000|0000000111111111000000|0000000011101110000000
7_5e1cc2c8-b175-437a-ac01-870ad92b070e=0000000100000000000000|0000000100000111000000|0000000100011111000000|0000000101111000000000|0000000111100000000000|0000000110000000000000
9_31ad6dc0-c75e-4949-a0ae-a867ebc0461e=0000000011110010000000|0000000111111011000000|0000000100001001000000|0000000100001001000000|0000000111111110000000|0000000011111100000000
6_2b6fa981-ac02-4da0-a080-012d5217db8a=0000000001111110000000|0000000011111111000000|0000000100100001000000|0000000100100001000000|0000000110111111000000|0000000010011110000000
3_daf7e32b-45c4-4134-acfd-9c1b7750c685=0000000010000010000000|0000000110000011000000|0000000100100001000000|0000000100000001000000|0000000111111111000000|0000000011011110000000
5_49cbb0ca-7c8c-435b-acf0-88975a5863f4=0000000001110010000000|0000000111110011000000|0000000110100001000000|0000000100100001000000|0000000100011111000000|0000000100011110000000
3_7e62c1a0-2741-4429-98b4-8e9692dee014=0000000010000010000000|0000000110000011000000|0000000100100001000000|0000000100100001000000|0000000111111111000000|0000000011001110000000
6_01213b64-fe15-4a7d-86d9-eee76f7f1b22=0000000001111110000000|0000000011111111000000|0000000100100001000000|0000000100100001000000|0000000110111111000000|0000000010001110000000
